sample_size,missing_type,missing_percentage,imputation_method,average_relative_bias,coverage_probability
1000,MNAR,0.05,fiml,0.00026420,0.88
1000,MNAR,0.05,knn100,0.00021688,0.88
1000,MNAR,0.05,knn500,0.00023599,0.88
1000,MNAR,0.05,mi,0.00026638,0.88
1000,MNAR,0.05,rf_flexible,0.00011518,0.88
1000,MNAR,0.05,rf_less_flexible,0.00007798,0.88
1000,MNAR,0.1,fiml,-0.00043071,0.92
1000,MNAR,0.1,knn100,-0.00066773,0.92
1000,MNAR,0.1,knn500,-0.00053973,0.92
1000,MNAR,0.1,mi,-0.00033625,0.92
1000,MNAR,0.1,rf_flexible,-0.00079802,0.92
1000,MNAR,0.1,rf_less_flexible,-0.00086170,0.92
1000,MNAR,0.15,fiml,0.00111796,0.91
1000,MNAR,0.15,knn100,0.00071473,0.91
1000,MNAR,0.15,knn500,0.00093072,0.91
1000,MNAR,0.15,mi,0.00110726,0.91
1000,MNAR,0.15,rf_flexible,0.00058956,0.91
1000,MNAR,0.15,rf_less_flexible,0.00044666,0.91
1000,MNAR,0.2,fiml,0.00144592,0.85
1000,MNAR,0.2,knn100,0.00115453,0.85
1000,MNAR,0.2,knn500,0.00159250,0.85
1000,MNAR,0.2,mi,0.00147628,0.85
1000,MNAR,0.2,rf_flexible,0.00081920,0.85
1000,MNAR,0.2,rf_less_flexible,0.00065656,0.85
1000,MNAR,0.25,fiml,-0.00207797,0.92
1000,MNAR,0.25,knn100,-0.00265389,0.91
1000,MNAR,0.25,knn500,-0.00211607,0.91
1000,MNAR,0.25,mi,-0.00197097,0.92
1000,MNAR,0.25,rf_flexible,-0.00277360,0.92
1000,MNAR,0.25,rf_less_flexible,-0.00332949,0.91
1000,MNAR,0.3,fiml,-0.00473749,0.93
1000,MNAR,0.3,knn100,-0.00567642,0.91
1000,MNAR,0.3,knn500,-0.00473577,0.92
1000,MNAR,0.3,mi,-0.00467297,0.93
1000,MNAR,0.3,rf_flexible,-0.00587319,0.89
1000,MNAR,0.3,rf_less_flexible,-0.00608571,0.89
1000,MCAR,0.05,fiml,-0.001031663,0.92
1000,MCAR,0.05,knn100,-0.001128583,0.91
1000,MCAR,0.05,knn500,-0.001087661,0.91
1000,MCAR,0.05,mi,-0.001042714,0.91
1000,MCAR,0.05,rf_flexible,-0.001146737,0.92
1000,MCAR,0.05,rf_less_flexible,-0.001229582,0.91
1000,MCAR,0.1,fiml,0.006620028,0.88
1000,MCAR,0.1,knn100,0.006434769,0.87
1000,MCAR,0.1,knn500,0.006542640,0.87
1000,MCAR,0.1,mi,0.006582597,0.87
1000,MCAR,0.1,rf_flexible,0.006314688,0.87
1000,MCAR,0.1,rf_less_flexible,0.006226039,0.87
1000,MCAR,0.15,fiml,-0.001760014,0.93
1000,MCAR,0.15,knn100,-0.002124328,0.94
1000,MCAR,0.15,knn500,-0.001518226,0.93
1000,MCAR,0.15,mi,-0.001769169,0.94
1000,MCAR,0.15,rf_flexible,-0.002270067,0.94
1000,MCAR,0.15,rf_less_flexible,-0.002372910,0.93
1000,MCAR,0.2,fiml,0.000678187,0.92
1000,MCAR,0.2,knn100,0.000255342,0.91
1000,MCAR,0.2,knn500,0.000505867,0.92
1000,MCAR,0.2,mi,0.000663045,0.92
1000,MCAR,0.2,rf_flexible,0.000035615,0.92
1000,MCAR,0.2,rf_less_flexible,-0.000278498,0.92
1000,MCAR,0.25,fiml,-0.002828959,0.87
1000,MCAR,0.25,knn100,-0.003394064,0.87
1000,MCAR,0.25,knn500,-0.002556044,0.86
1000,MCAR,0.25,mi,-0.002783488,0.88
1000,MCAR,0.25,rf_flexible,-0.003567577,0.87
1000,MCAR,0.25,rf_less_flexible,-0.003834823,0.87
1000,MCAR,0.3,fiml,0.002977076,0.88
1000,MCAR,0.3,knn100,0.002297525,0.88
1000,MCAR,0.3,knn500,0.002859508,0.9
1000,MCAR,0.3,mi,0.002832378,0.89
1000,MCAR,0.3,rf_flexible,0.001816795,0.88
1000,MCAR,0.3,rf_less_flexible,0.001691727,0.89
100,MNAR,0.05,fiml,-0.007135032,0.82
100,MNAR,0.05,knn25,-0.007441606,0.83
100,MNAR,0.05,knn5,-0.007050576,0.82
100,MNAR,0.05,mi,-0.007390035,0.83
100,MNAR,0.05,rf_flexible,-0.007654139,0.83
100,MNAR,0.05,rf_less_flexible,-0.007748996,0.83
100,MNAR,0.1,fiml,-0.010215553,0.88
100,MNAR,0.1,knn25,-0.010984722,0.88
100,MNAR,0.1,knn5,-0.010205405,0.89
100,MNAR,0.1,mi,-0.010814964,0.89
100,MNAR,0.1,rf_flexible,-0.011376208,0.89
100,MNAR,0.1,rf_less_flexible,-0.01136984,0.89
100,MNAR,0.15,fiml,-0.001293246,0.89
100,MNAR,0.15,knn25,-0.004052682,0.91
100,MNAR,0.15,knn5,-0.001472549,0.91
100,MNAR,0.15,mi,-0.000953528,0.91
100,MNAR,0.15,rf_flexible,-0.004561072,0.9
100,MNAR,0.15,rf_less_flexible,-0.003097731,0.9
100,MNAR,0.2,fiml,0.011240181,0.85
100,MNAR,0.2,knn25,0.010847945,0.89
100,MNAR,0.2,knn5,0.010520258,0.88
100,MNAR,0.2,mi,0.011805964,0.87
100,MNAR,0.2,rf_flexible,0.008100386,0.87
100,MNAR,0.2,rf_less_flexible,0.008648637,0.88
100,MNAR,0.25,fiml,0.006701677,0.83
100,MNAR,0.25,knn25,0.005752013,0.87
100,MNAR,0.25,knn5,0.003899723,0.88
100,MNAR,0.25,mi,0.006745431,0.87
100,MNAR,0.25,rf_flexible,0.003660825,0.87
100,MNAR,0.25,rf_less_flexible,0.005492013,0.87
100,MNAR,0.3,fiml,0.004231373,0.91
100,MNAR,0.3,knn25,0.003867309,0.92
100,MNAR,0.3,knn5,0.003261063,0.92
100,MNAR,0.3,mi,0.004695227,0.92
100,MNAR,0.3,rf_flexible,0.000389325,0.93
100,MNAR,0.3,rf_less_flexible,0.003048433,0.93
100,MCAR,0.05,fiml,0.016976054,0.85
100,MCAR,0.05,knn25,0.016713725,0.89
100,MCAR,0.05,knn5,0.017277357,0.91
100,MCAR,0.05,mi,0.016921511,0.88
100,MCAR,0.05,rf_flexible,0.017008195,0.89
100,MCAR,0.05,rf_less_flexible,0.017153872,0.89
100,MCAR,0.1,fiml,-0.016534136,0.93
100,MCAR,0.1,knn25,-0.01801388,0.94
100,MCAR,0.1,knn5,-0.01739834,0.94
100,MCAR,0.1,mi,-0.016337186,0.93
100,MCAR,0.1,rf_flexible,-0.017325492,0.94
100,MCAR,0.1,rf_less_flexible,-0.017606741,0.94
100,MCAR,0.15,fiml,-0.002168845,0.9
100,MCAR,0.15,knn25,-0.004395657,0.93
100,MCAR,0.15,knn5,-0.002488643,0.93
100,MCAR,0.15,mi,-0.002663626,0.93
100,MCAR,0.15,rf_flexible,-0.005580169,0.93
100,MCAR,0.15,rf_less_flexible,-0.005317374,0.93
100,MCAR,0.2,fiml,0.004469786,0.9
100,MCAR,0.2,knn25,0.004360471,0.92
100,MCAR,0.2,knn5,0.003535482,0.92
100,MCAR,0.2,mi,0.005639341,0.94
100,MCAR,0.2,rf_flexible,0.002221599,0.93
100,MCAR,0.2,rf_less_flexible,0.002965104,0.92
100,MCAR,0.25,fiml,-0.007364421,0.87
100,MCAR,0.25,knn25,-0.00749484,0.88
100,MCAR,0.25,knn5,-0.006291342,0.87
100,MCAR,0.25,mi,-0.006247319,0.9
100,MCAR,0.25,rf_flexible,-0.008367034,0.88
100,MCAR,0.25,rf_less_flexible,-0.008811299,0.88
100,MCAR,0.3,fiml,-0.00473258,0.86
100,MCAR,0.3,knn25,-0.004720623,0.9
100,MCAR,0.3,knn5,-0.004379465,0.89
100,MCAR,0.3,mi,-0.003210881,0.9
100,MCAR,0.3,rf_flexible,-0.008529827,0.88
100,MCAR,0.3,rf_less_flexible,-0.008110476,0.88
