missing_percentage,imputation_method,coverage_prob
0.05,fiml,0.88
0.05,knn100,0.88
0.05,knn500,0.88
0.05,mi,0.88
0.05,rf_flexible,0.88
0.05,rf_less_flexible,0.88
0.1,fiml,0.92
0.1,knn100,0.92
0.1,knn500,0.92
0.1,mi,0.92
0.1,rf_flexible,0.92
0.1,rf_less_flexible,0.92
0.15,fiml,0.91
0.15,knn100,0.91
0.15,knn500,0.91
0.15,mi,0.91
0.15,rf_flexible,0.91
0.15,rf_less_flexible,0.91
0.2,fiml,0.85
0.2,knn100,0.85
0.2,knn500,0.85
0.2,mi,0.85
0.2,rf_flexible,0.85
0.2,rf_less_flexible,0.85
0.25,fiml,0.92
0.25,knn100,0.91
0.25,knn500,0.91
0.25,mi,0.92
0.25,rf_flexible,0.92
0.25,rf_less_flexible,0.91
0.3,fiml,0.93
0.3,knn100,0.91
0.3,knn500,0.92
0.3,mi,0.93
0.3,rf_flexible,0.89
0.3,rf_less_flexible,0.89
