"missing_percentage","imputation_method","avg_relative_bias_NDE","avg_relative_bias_NIE"
0.05,"fiml",-0.00633180210950842,0.581496027707822
0.05,"knn100",-0.00893601611019189,0.677509569985567
0.05,"knn500",-0.00969967474291632,0.693141455265369
0.05,"mi",0.0140826338090041,0.79014743100139
0.05,"rf_flexible",-0.00237820554053285,0.585032192656914
0.05,"rf_less_flexible",-0.00859890345117813,0.650804550802625
0.1,"fiml",-0.0083194350115208,0.100098962583368
0.1,"knn100",-0.00645076658703574,0.070684219903835
0.1,"knn500",-0.0073718107936199,0.0735867462343719
0.1,"mi",0.000205117244370964,0.0594949285875476
0.1,"rf_flexible",-0.00339623795678992,0.085786534369789
0.1,"rf_less_flexible",-0.00299991820398471,0.077346906903556
0.15,"fiml",0.00934136802889433,0.212580771053487
0.15,"knn100",0.0104751272496203,0.227080901200439
0.15,"knn500",0.0114340831212047,0.228083213755076
0.15,"mi",0.0235754237461929,0.221659272987975
0.15,"rf_flexible",0.00317213959070296,0.242736021122076
0.15,"rf_less_flexible",0.0076750420723845,0.21009694403591
0.2,"fiml",-0.0165556457532638,-0.535276190394552
0.2,"knn100",-0.0146894118707292,-0.574505749323827
0.2,"knn500",-0.0136999910163204,-0.578896524610819
0.2,"mi",-0.0340376296844242,-0.545177643606712
0.2,"rf_flexible",-0.00914201993653677,-0.612141934060175
0.2,"rf_less_flexible",-0.00998620596950957,-0.570633259716766
0.25,"fiml",-0.00104239076685836,0.0382794387491168
0.25,"knn100",0.00586343547194387,0.0228094860887144
0.25,"knn500",0.00609493271339487,0.0186802767032168
0.25,"mi",0.0200049034396868,0.0439215716586932
0.25,"rf_flexible",0.00971841771614085,-0.00604426526380525
0.25,"rf_less_flexible",0.00919105645983617,-0.00584321009988594
0.3,"fiml",0.038150894051721,1.99155048207966
0.3,"knn100",0.0133509998436108,1.94685128012301
0.3,"knn500",0.0125596941270501,2.00089330946796
0.3,"mi",0.0418847507148969,2.04393672880098
0.3,"rf_flexible",0.0433078567109306,1.85385455685384
0.3,"rf_less_flexible",0.0421890241306439,1.77938654264383
